order_id,quantity,lodgement_date,estimated_delivery,salesman_number,model_id,contract_id
1,750,2012-08-22,2012-08-08,12212927,1,1
2,840,2021-05-18,2021-05-17,12212927,2,2
3,300,2006-08-08,2006-07-21,12212927,3,3
4,490,2021-07-30,2021-07-18,12212927,4,4
5,440,2007-11-12,2007-11-11,12212927,5,5
6,550,2009-10-22,2009-11-10,12212927,6,6
7,820,2003-01-15,2003-01-01,12212927,7,7
8,780,2004-09-04,2004-08-21,12212927,8,8
9,500,2006-04-06,2006-04-19,12212927,9,9
10,40,2003-10-20,2003-09-10,12212927,10,10
11,870,2005-11-07,2005-10-29,12212927,11,11
12,930,2002-08-29,2002-09-06,12212927,12,12
13,640,2014-02-06,2014-02-10,12212927,13,13
14,960,2003-12-17,2003-12-29,12212927,14,14
15,710,2001-05-27,2001-05-15,12212927,15,15
16,960,2015-12-15,2016-01-14,12212927,16,16
17,540,2014-04-08,2014-04-19,12212927,17,17
18,770,2021-10-16,2021-11-15,12212927,18,18
19,920,2005-12-23,2005-12-22,12212927,19,19
20,440,2018-11-09,2018-10-11,12212927,20,20
21,580,2013-01-30,2013-02-19,12212927,21,21
22,80,2002-03-11,2002-02-03,12212927,22,22
23,490,2006-09-06,2006-08-15,12212927,23,23
24,310,2004-04-20,2004-04-16,12212927,24,24
25,1000,2014-07-15,2014-07-17,12212927,25,25
26,390,2010-03-26,2010-03-08,12212927,26,26
27,860,2000-03-24,2000-01-28,12212915,27,27
28,290,2019-10-21,2019-09-19,12212915,28,28
29,190,2019-07-18,2019-05-26,12212915,29,29
30,720,2003-09-22,2003-08-31,12212915,30,30
31,220,2007-05-19,2007-06-08,12212915,31,31
32,90,2002-11-10,2002-09-27,12212915,32,32
33,380,2016-03-08,2016-04-03,12212915,33,33
34,160,2019-05-26,2019-05-20,12212915,34,34
35,600,2013-03-09,2013-04-12,12212915,32,35
36,600,2000-09-05,2000-09-11,12212915,35,36
37,960,2004-10-31,2004-10-28,12212915,36,37
38,770,2002-09-09,2002-08-26,12212915,37,38
39,640,2002-09-21,2002-10-04,12212915,38,38
40,580,2002-08-20,2002-09-28,12212915,39,38
41,20,2017-06-21,2017-07-12,12212915,40,39
42,240,2007-10-30,2007-10-14,12212915,41,40
43,430,2011-05-22,2011-06-24,12212915,42,41
44,930,2012-08-28,2012-08-15,12212915,43,42
45,890,2014-02-04,2014-01-23,12212915,44,43
46,80,2011-11-07,2011-10-03,12212915,45,44
47,250,2016-06-03,2016-04-27,12212915,46,45
48,830,2005-07-19,2005-07-29,12212915,47,46
49,680,2001-10-25,2001-10-15,12212915,48,47
50,430,2018-10-26,2018-10-25,12212915,49,48
51,1000,2004-03-15,2004-04-05,12212915,50,49
52,480,2014-11-20,2014-12-19,12212915,51,50
53,880,2004-05-12,2004-05-16,12212915,52,51
54,170,2014-03-20,2014-04-25,12212915,53,52
55,720,2014-04-19,2014-03-05,12212915,54,52
56,720,2020-06-29,2020-07-29,12212915,55,53
57,780,2020-08-08,2020-07-23,12212915,56,53
58,260,2014-04-13,2014-04-16,12212915,57,54
59,250,2010-07-17,2010-06-25,12212915,58,55
60,890,2014-09-20,2014-09-16,12212915,59,56
61,330,2014-03-18,2014-03-23,12212915,60,57
62,50,2017-07-08,2017-06-28,12212915,61,58
63,840,2002-08-11,2002-07-24,12212915,62,59
64,160,2017-01-09,2017-01-18,12212915,63,60
65,450,2000-03-25,2000-04-26,12212915,64,61
66,230,2001-10-01,2001-08-28,12212915,65,62
67,140,2022-01-17,2022-01-15,12212915,66,63
68,480,2002-09-26,2002-10-03,12212915,67,64
69,740,2014-02-06,2014-01-17,12212915,68,65
70,270,2019-04-27,2019-04-07,12212915,69,66
71,80,2013-01-30,2013-02-09,12212915,70,67
72,730,2007-01-09,2007-01-20,12212915,71,68
73,230,2012-02-03,2012-02-08,12212915,72,69
74,950,2011-10-03,2011-09-06,12212915,73,70
75,300,2004-12-21,2004-12-16,12212915,74,71
76,680,2017-09-20,2017-08-14,12212915,75,72
77,300,2011-04-07,2011-03-19,12212915,76,73
78,490,2001-05-09,2001-04-28,12212915,77,74
79,70,2000-12-13,2000-12-23,12212915,78,75
80,620,2012-11-21,2012-10-18,12212915,79,76
81,440,2005-10-13,2005-09-22,12212915,80,77
82,530,2007-04-11,2007-05-01,12212915,81,78
83,340,2000-03-16,2000-04-02,12212915,82,79
84,310,2010-05-18,2010-05-16,12212915,83,80
85,400,2007-11-02,2007-10-22,12212915,41,81
86,20,2002-05-02,2002-05-12,12212915,84,82
87,230,2010-03-28,2010-03-28,12212915,85,83
88,130,2008-09-22,2008-10-05,12212915,86,84
89,1000,2018-07-31,2018-07-10,12212915,87,85
90,10,2005-03-10,2005-02-27,12212915,88,86
91,300,2014-12-25,2015-01-04,12212915,89,87
92,680,2007-03-26,2007-04-13,12212915,90,88
93,800,2003-07-22,2003-07-15,12212915,91,89
94,910,2001-07-31,2001-07-17,12212915,92,90
95,1000,2001-08-08,2001-07-06,12212915,93,90
96,880,2011-07-20,2011-08-12,12212915,94,91
97,820,2007-03-12,2007-03-01,12212915,95,92
98,840,2011-03-29,2011-04-09,12212915,96,93
99,180,2011-08-24,2011-08-22,12212915,97,94
100,320,2013-07-02,2013-07-04,12212915,98,95
101,880,2014-06-08,2014-05-16,12212915,99,96
102,730,2007-05-03,2007-03-30,12212915,100,97
103,710,2000-02-01,2000-02-27,12212915,80,98
104,900,2000-02-09,2000-02-19,12212915,101,98
105,10,2004-05-07,2004-05-13,12212915,102,99
106,200,2004-10-23,2004-10-21,12212915,103,100
107,350,2012-01-30,2012-01-18,12212915,104,101
108,50,2001-02-20,2001-02-16,12212915,105,102
109,670,2015-05-05,2015-04-20,12212915,106,103
110,990,2000-06-26,2000-06-01,12212915,107,104
111,410,2002-03-24,2002-03-21,12212915,108,105
112,490,2006-07-23,2006-08-08,12212915,109,106
113,70,2006-11-01,2006-09-22,12212915,110,107
114,130,2015-05-27,2015-06-23,12212915,111,108
115,790,2000-06-24,2000-05-27,12212915,112,109
116,710,2021-07-07,2021-07-26,12212915,113,110
117,610,2009-06-11,2009-04-26,12212915,114,111
118,610,2006-09-01,2006-10-02,12212915,115,112
119,600,2018-05-25,2018-04-14,12212915,116,113
120,830,2007-11-30,2007-12-27,12212915,117,114
121,980,2004-02-07,2004-03-15,12212915,118,115
122,170,2007-04-07,2007-04-04,12212915,46,116
